"screen_time_hours","social_media_platforms_used","hours_on_TikTok","sleep_hours","stress_level","mood_score","social_media_category","screen_time_category","sleep_quality","digital_intensity","mental_health_indicator","digital_habits_score","mental_health_score"
3.3,4,1,8.1,5,10,"High","Low","Good",0,0,0.391666666666667,15
7.7,1,4.3,8.1,8,10,"Low","Medium","Good",0,1,0.495833333333333,12
9,3,4.4,10,5,10,"Medium","High","Good",0,0,0.663333333333333,15
8,1,2.1,8.2,6,10,"Low","High","Good",0,0,0.414166666666667,14
6.7,5,1.8,8.7,5,10,"High","Medium","Good",1,0,0.598333333333333,15
6.8,3,2.8,8.4,7,10,"Medium","Medium","Good",0,0,0.523333333333333,13
5.6,1,1.4,8.5,3,10,"Low","Medium","Good",0,0,0.305,17
3.9,5,1.6,8.6,5,10,"High","Low","Good",0,0,0.496666666666667,15
7.5,4,3.6,8.3,6,10,"High","Medium","Good",1,0,0.64,14
5.4,3,2.6,9.2,6,10,"Medium","Medium","Good",0,0,0.468333333333333,14
7.7,1,4.2,8.2,7,10,"Low","Medium","Good",0,0,0.491666666666667,13
5.8,3,3.4,8.9,4,10,"Medium","Medium","Good",0,0,0.515,16
6.2,4,1.8,9.3,3,10,"High","Medium","Good",1,0,0.521666666666667,17
7,3,2.8,8,4,10,"Medium","Medium","Good",0,0,0.53,16
4.7,4,1.1,8.1,3,10,"High","Medium","Good",0,0,0.4425,17
4.7,5,2.3,9.1,4,10,"High","Medium","Good",0,0,0.5525,16
7.6,5,2.6,9.1,4,10,"High","Medium","Good",1,0,0.661666666666667,16
8,1,3.2,9.9,5,10,"Low","High","Good",0,0,0.46,15
9,1,2.2,9.5,5,10,"Low","High","Good",0,0,0.451666666666667,15
5,5,1.3,8.2,3,10,"High","Medium","Good",0,0,0.520833333333333,17
8.5,4,2.1,8,8,10,"High","High","Good",1,1,0.610833333333333,12
8.1,4,1.9,8.7,6,10,"High","High","Good",1,0,0.589166666666667,14
4.7,1,1.9,9.5,2,10,"Low","Medium","Good",0,0,0.295833333333333,18
2.9,5,0.8,8.6,3,10,"High","Low","Good",0,0,0.43,17
6.9,1,2.3,9.1,5,10,"Low","Medium","Good",0,0,0.385833333333333,15
8,4,4,9.9,4,10,"High","High","Good",1,0,0.673333333333333,16
4.5,3,1,8.2,4,9,"Medium","Medium","Good",0,0,0.371666666666667,15
2.8,3,0.6,8.5,3,10,"Medium","Low","Good",0,0,0.298333333333333,17
6.8,4,3.5,10,3,10,"High","Medium","Good",1,0,0.6125,17
4.8,1,2.2,9.9,2,10,"Low","Medium","Good",0,0,0.311666666666667,18
3.4,1,1.3,8.5,3,10,"Low","Low","Good",0,0,0.2275,17
1.8,2,0.5,8.3,2,10,"Low","Low","Good",0,0,0.200833333333333,18
6.6,1,3.2,9.4,4,10,"Low","Medium","Good",0,0,0.413333333333333,16
7,3,2.7,8.2,5,10,"Medium","Medium","Good",0,0,0.525833333333333,15
8.9,4,2.8,9.5,5,10,"High","High","Good",1,0,0.653333333333333,15
7.7,1,3.2,8.3,6,9,"Low","Medium","Good",0,0,0.45,13
4.8,4,2,8.3,5,10,"High","Medium","Good",0,0,0.483333333333333,15
5.3,1,2.5,8.5,6,10,"Low","Medium","Good",0,0,0.340833333333333,14
3.2,4,1.3,8.2,4,10,"High","Low","Good",0,0,0.400833333333333,16
8.2,2,2.9,8.9,4,10,"Low","High","Good",0,0,0.514166666666667,16
5.5,3,1.4,8.9,5,10,"Medium","Medium","Good",0,0,0.421666666666667,15
4.2,4,1.8,8.5,4,10,"High","Medium","Good",0,0,0.455,16
7.7,2,1.6,9.5,4,10,"Low","Medium","Good",0,0,0.443333333333333,16
4.2,2,2.1,8,7,10,"Low","Medium","Good",0,0,0.3475,13
5.1,5,1.1,9,4,10,"High","Medium","Good",0,0,0.515833333333333,16
5.8,1,2.2,8,6,10,"Low","Medium","Good",0,0,0.345,14
5.2,2,3.1,8.5,5,10,"Low","Medium","Good",0,0,0.4225,15
3.3,2,1.5,10,2,10,"Low","Low","Good",0,0,0.2925,18
8.6,1,2.8,8.3,7,10,"Low","High","Good",0,0,0.463333333333333,13
7.4,5,2.6,9.1,4,10,"High","Medium","Good",1,0,0.655,16
7.1,4,2.5,10,4,10,"High","Medium","Good",1,0,0.580833333333333,16
2.2,2,0.7,9.3,1,10,"Low","Low","Good",0,0,0.2225,19
7.3,4,1.9,8.2,5,10,"High","Medium","Good",1,0,0.5625,15
7.1,5,2.3,8,7,10,"High","Medium","Good",1,0,0.6325,13
8.6,5,3.2,8.2,6,10,"High","High","Good",1,0,0.72,14
7.2,5,4,8.3,7,10,"High","Medium","Good",1,0,0.706666666666667,13
5.6,1,2.9,9.3,4,10,"Low","Medium","Good",0,0,0.3675,16
2,5,1.1,8.2,3,10,"High","Low","Good",0,0,0.4125,17
1.9,3,0.9,8.8,1,10,"Medium","Low","Good",0,0,0.280833333333333,19
5.1,1,1.7,9.1,3,10,"Low","Medium","Good",0,0,0.300833333333333,17
7.3,3,2.4,8.9,5,10,"Medium","Medium","Good",0,0,0.523333333333333,15
8.3,4,4.4,8.3,7,9,"High","High","Good",1,0,0.7,12
5.4,1,1.4,9.9,2,10,"Low","Medium","Good",0,0,0.298333333333333,18
6.8,1,1.8,8.8,4,10,"Low","Medium","Good",0,0,0.361666666666667,16
6.3,5,3.1,8.7,3,10,"High","Medium","Good",1,0,0.639166666666667,17
6.8,2,1.7,8.1,3,10,"Low","Medium","Good",0,0,0.4175,17
7.5,1,3.1,8.2,6,10,"Low","Medium","Good",0,0,0.439166666666667,14
9.4,5,4.1,8.9,5,10,"High","High","Good",1,0,0.784166666666667,15
2.9,3,0.6,8.1,4,10,"Medium","Low","Good",0,0,0.301666666666667,16
6.1,4,1.3,9.3,4,10,"High","Medium","Good",1,0,0.4975,16
1.9,5,0.6,9.6,1,10,"High","Low","Good",0,0,0.388333333333333,19
4.3,1,1.2,8.3,5,10,"Low","Medium","Good",0,0,0.253333333333333,15
7.7,1,1.9,8.6,6,10,"Low","Medium","Good",0,0,0.395833333333333,14
5.4,4,2,8.3,4,10,"High","Medium","Good",0,0,0.503333333333333,16
5.9,1,1.4,8.3,5,10,"Low","Medium","Good",0,0,0.315,15
9.2,4,1.8,10,5,10,"High","High","Good",1,0,0.621666666666667,15
2.4,1,0.8,8.9,4,10,"Low","Low","Good",0,0,0.173333333333333,16
2.8,2,1,9.3,3,10,"Low","Low","Good",0,0,0.255,17
7.5,3,2.8,10,6,10,"Medium","Medium","Good",0,0,0.546666666666667,14
6,2,3.1,9.3,5,10,"Low","Medium","Good",0,0,0.449166666666667,15
7.4,1,1.9,8.9,5,10,"Low","Medium","Good",0,0,0.385833333333333,15
5.8,5,2,8.6,5,10,"High","Medium","Good",0,0,0.576666666666667,15
8.7,2,2.8,8.7,5,10,"Low","High","Good",0,0,0.526666666666667,15
4.3,5,1.2,8.5,4,10,"High","Medium","Good",0,0,0.493333333333333,16
4.8,3,1.8,8.8,3,10,"Medium","Medium","Good",0,0,0.415,17
7,2,3.8,8.4,3,10,"Low","Medium","Good",0,0,0.511666666666667,17
9.3,2,3.6,8.2,5,10,"Low","High","Good",0,0,0.58,15
8.1,2,3.3,8.1,8,9,"Low","High","Good",0,1,0.5275,11
7.6,5,2.1,8.5,5,10,"High","Medium","Good",1,0,0.640833333333333,15
6.7,3,2.4,9.4,3,10,"Medium","Medium","Good",0,0,0.503333333333333,17
7.4,1,2.1,9.7,3,10,"Low","Medium","Good",0,0,0.394166666666667,17
7.1,2,2.4,9.1,5,10,"Low","Medium","Good",0,0,0.456666666666667,15
2.9,5,0.8,9.1,3,10,"High","Low","Good",0,0,0.43,17
6.5,4,1.6,8.6,5,10,"High","Medium","Good",1,0,0.523333333333333,15
5.7,3,1.6,9.3,3,10,"Medium","Medium","Good",0,0,0.436666666666667,17
5.3,4,3,10,2,10,"High","Medium","Good",0,0,0.541666666666667,18
8.6,2,2.5,8.4,6,9,"Low","High","Good",0,0,0.510833333333333,13
9,2,2.4,8.3,5,10,"Low","High","Good",0,0,0.52,15
7.2,5,4.3,9.1,6,10,"High","Medium","Good",1,0,0.719166666666667,14
12,5,2.9,8.4,7,10,"High","High","Good",1,0,0.820833333333333,13
5.4,4,2.2,8,5,10,"High","Medium","Good",0,0,0.511666666666667,15
9.1,1,3.2,8.1,9,9,"Low","High","Good",0,1,0.496666666666667,10
7.3,2,3.1,8.6,6,10,"Low","Medium","Good",0,0,0.4925,14
8.6,5,3.1,9.9,6,10,"High","High","Good",1,0,0.715833333333333,14
1.4,5,0.5,9.4,1,10,"High","Low","Good",0,0,0.3675,19
2.2,2,1.2,8.5,1,10,"Low","Low","Good",0,0,0.243333333333333,19
5.6,4,2.4,8.2,3,10,"High","Medium","Good",0,0,0.526666666666667,17
10.3,2,2.7,9.4,7,10,"Low","High","Good",0,0,0.575833333333333,13
9.2,4,2.7,8.9,6,10,"High","High","Good",1,0,0.659166666666667,14
3,4,0.8,8.6,3,10,"High","Low","Good",0,0,0.373333333333333,17
5.2,2,1.2,8.3,4,10,"Low","Medium","Good",0,0,0.343333333333333,16
3.5,1,1.3,9.2,1,10,"Low","Low","Good",0,0,0.230833333333333,19
6.3,4,2.8,8.1,5,10,"High","Medium","Good",1,0,0.566666666666667,15
1,3,0.5,8.3,2,10,"Medium","Low","Good",0,0,0.234166666666667,18
6.2,5,1.5,8.3,5,10,"High","Medium","Good",1,0,0.569166666666667,15
9.5,3,4.3,8.3,6,10,"Medium","High","Good",0,0,0.675833333333333,14
1,1,0.4,8,3,10,"Low","Low","Good",0,0,0.11,17
5.8,5,1.5,9.1,4,10,"High","Medium","Good",0,0,0.555833333333333,16
6.9,1,2.5,8.3,5,10,"Low","Medium","Good",0,0,0.394166666666667,15
7.8,3,2.3,9,6,10,"Medium","Medium","Good",0,0,0.535833333333333,14
5.8,1,3.3,9.1,3,10,"Low","Medium","Good",0,0,0.390833333333333,17
3.8,4,0.8,9.2,1,10,"High","Low","Good",0,0,0.4,19
1.8,5,0.4,8.2,3,10,"High","Low","Good",0,0,0.376666666666667,17
7.1,2,4,8.3,6,9,"Low","Medium","Good",0,0,0.523333333333333,13
5,5,1.4,10,2,10,"High","Medium","Good",0,0,0.525,18
8.1,4,2.1,8.3,5,10,"High","High","Good",1,0,0.5975,15
3.7,2,1.8,10,1,10,"Low","Low","Good",0,0,0.318333333333333,19
9.7,5,2.3,9.2,5,10,"High","High","Good",1,0,0.719166666666667,15
4,5,1.3,8.5,6,10,"High","Medium","Good",0,0,0.4875,14
8.3,5,4.6,8.1,8,9,"High","High","Good",1,1,0.768333333333333,11
6.8,4,2.2,8.1,6,10,"High","Medium","Good",1,0,0.558333333333333,14
5.3,2,2.6,9.6,4,10,"Low","Medium","Good",0,0,0.405,16
7.4,1,1.8,8.3,6,10,"Low","Medium","Good",0,0,0.381666666666667,14
8.3,2,3.9,9,4,10,"Low","High","Good",0,0,0.559166666666667,16
5,3,1.6,9.8,2,10,"Medium","Medium","Good",0,0,0.413333333333333,18
7.2,4,3.8,8.5,6,10,"High","Medium","Good",1,0,0.638333333333333,14
6.8,2,2.3,8.1,4,10,"Low","Medium","Good",0,0,0.4425,16
7.2,1,3.2,8,5,10,"Low","Medium","Good",0,0,0.433333333333333,15
7.7,5,2.1,8.3,6,10,"High","Medium","Good",1,0,0.644166666666667,14
5.5,2,1.5,8.6,4,10,"Low","Medium","Good",0,0,0.365833333333333,16
5.8,3,2.2,9.3,4,10,"Medium","Medium","Good",0,0,0.465,16
6.5,4,2.4,9,4,10,"High","Medium","Good",1,0,0.556666666666667,16
5.7,3,1.2,8.3,4,10,"Medium","Medium","Good",0,0,0.42,16
5.1,3,2.5,9,3,10,"Medium","Medium","Good",0,0,0.454166666666667,17
9.2,3,5.4,9,6,10,"Medium","High","Good",0,0,0.711666666666667,14
8.9,2,2.1,8.1,7,10,"Low","High","Good",0,0,0.504166666666667,13
6.9,3,2.8,8.6,7,10,"Medium","Medium","Good",0,0,0.526666666666667,13
4.4,3,1.4,9.3,3,10,"Medium","Medium","Good",0,0,0.385,17
6,3,1.3,8.5,4,10,"Medium","Medium","Good",0,0,0.434166666666667,16
3.5,2,2,8.6,4,10,"Low","Low","Good",0,0,0.32,16
6.1,5,1.5,9.6,1,10,"High","Medium","Good",1,0,0.565833333333333,19
6.4,5,2.5,8.1,5,10,"High","Medium","Good",1,0,0.6175,15
7.8,5,3.8,8.7,3,10,"High","Medium","Good",1,0,0.718333333333333,17
5.5,3,1.7,10,3,10,"Medium","Medium","Good",0,0,0.434166666666667,17
6.9,1,1.6,8.4,5,10,"Low","Medium","Good",0,0,0.356666666666667,15
6.8,3,1.7,8,5,10,"Medium","Medium","Good",0,0,0.4775,15
6.9,2,1.5,8.5,4,10,"Low","Medium","Good",0,0,0.4125,16
8,3,3,8.2,5,9,"Medium","High","Good",0,0,0.571666666666667,14
5.6,2,3.2,8.8,6,10,"Low","Medium","Good",0,0,0.44,14
8.8,1,3.3,10,4,10,"Low","High","Good",0,0,0.490833333333333,16
2.4,5,1.4,9.2,3,10,"High","Low","Good",0,0,0.438333333333333,17
1.9,1,0.7,8.7,4,10,"Low","Low","Good",0,0,0.1525,16
7.4,5,1.9,8.6,4,10,"High","Medium","Good",1,0,0.625833333333333,16
4.3,3,1.6,8.7,3,10,"Medium","Medium","Good",0,0,0.39,17
6.8,3,2,9.2,5,10,"Medium","Medium","Good",0,0,0.49,15
3.4,3,1.2,8.1,5,10,"Medium","Low","Good",0,0,0.343333333333333,15
4.4,4,1.5,9.6,2,10,"High","Medium","Good",0,0,0.449166666666667,18
7.7,2,3.3,8.2,6,8,"Low","Medium","Good",0,0,0.514166666666667,12
3.8,4,1.6,9.3,2,10,"High","Low","Good",0,0,0.433333333333333,18
6.6,1,2.7,8.6,4,10,"Low","Medium","Good",0,0,0.3925,16
6.6,1,3.1,8.9,5,10,"Low","Medium","Good",0,0,0.409166666666667,15
6.9,5,3.5,8.5,6,10,"High","Medium","Good",1,0,0.675833333333333,14
7,2,3.4,8.7,5,9,"Low","Medium","Good",0,0,0.495,14
9.7,2,3.2,8.2,5,10,"Low","High","Good",0,0,0.576666666666667,15
6.9,1,3.3,10,3,10,"Low","Medium","Good",0,0,0.4275,17
1.4,5,0.4,9.5,3,10,"High","Low","Good",0,0,0.363333333333333,17
5.8,4,1.2,9.2,4,10,"High","Medium","Good",0,0,0.483333333333333,16
9.1,1,5.4,9.4,6,9,"Low","High","Good",0,0,0.588333333333333,13
4.7,4,2.4,8.3,4,10,"High","Medium","Good",0,0,0.496666666666667,16
4.9,2,2.8,8.9,1,10,"Low","Medium","Good",0,0,0.4,19
6.5,4,1.9,8.2,4,10,"High","Medium","Good",1,0,0.535833333333333,16
9.3,3,2.6,8.7,5,10,"Medium","High","Good",0,0,0.598333333333333,15
6.9,1,2.1,9.1,3,10,"Low","Medium","Good",0,0,0.3775,17
5.2,3,2.4,8.8,5,10,"Medium","Medium","Good",0,0,0.453333333333333,15
8.4,4,3.4,9.1,4,10,"High","High","Good",1,0,0.661666666666667,16
7.3,2,3.4,8.4,8,10,"Low","Medium","Good",0,1,0.505,12
9.2,1,2.4,8.1,6,10,"Low","High","Good",0,0,0.466666666666667,14
6.6,3,3.6,8.3,6,10,"Medium","Medium","Good",0,0,0.55,14
3,3,1,8.5,2,10,"Medium","Low","Good",0,0,0.321666666666667,18
5.3,2,2.4,8.7,4,10,"Low","Medium","Good",0,0,0.396666666666667,16
4.7,1,1.9,10,4,10,"Low","Medium","Good",0,0,0.295833333333333,16
5.6,3,1.5,10,2,10,"Medium","Medium","Good",0,0,0.429166666666667,18
8.8,4,3.9,8,7,10,"High","High","Good",1,0,0.695833333333333,13
5.2,3,1.2,8,5,10,"Medium","Medium","Good",0,0,0.403333333333333,15
6.4,4,2.5,10,3,10,"High","Medium","Good",1,0,0.5575,17
6.5,5,3.4,9,6,10,"High","Medium","Good",1,0,0.658333333333333,14
2.4,3,1.1,9.6,1,10,"Medium","Low","Good",0,0,0.305833333333333,19
7.5,5,3.7,8.3,6,9,"High","Medium","Good",1,0,0.704166666666667,13
6.3,4,3.1,8.5,5,10,"High","Medium","Good",1,0,0.579166666666667,15
5.4,2,1.8,8.5,3,10,"Low","Medium","Good",0,0,0.375,17
7.1,1,4.3,9.5,6,10,"Low","Medium","Good",0,0,0.475833333333333,14
2.3,3,1.3,8.9,4,10,"Medium","Low","Good",0,0,0.310833333333333,16
12,4,3.2,8.5,7,10,"High","High","Good",1,0,0.773333333333333,13
6.8,3,1.9,8.2,4,10,"Medium","Medium","Good",0,0,0.485833333333333,16
8.7,5,2.1,8.1,5,10,"High","High","Good",1,0,0.6775,15
7.3,2,2.3,10,4,10,"Low","Medium","Good",0,0,0.459166666666667,16
6.2,1,2.2,8.5,7,10,"Low","Medium","Good",0,0,0.358333333333333,13
8.1,2,3.1,8.6,8,9,"Low","High","Good",0,1,0.519166666666667,11
6.9,1,2.9,9,5,10,"Low","Medium","Good",0,0,0.410833333333333,15
6.9,2,1.5,9.9,3,10,"Low","Medium","Good",0,0,0.4125,17
5.6,2,3.2,10,4,10,"Low","Medium","Good",0,0,0.44,16
8.9,4,4.8,10,7,10,"High","High","Good",1,0,0.736666666666667,13
8.4,1,4.9,10,5,10,"Low","High","Good",0,0,0.544166666666667,15
3.8,5,1.9,8,4,10,"High","Low","Good",0,0,0.505833333333333,16
5.6,1,1.7,9.3,3,10,"Low","Medium","Good",0,0,0.3175,17
3.1,2,1.2,8.3,3,10,"Low","Low","Good",0,0,0.273333333333333,17
5.2,4,1.8,8.5,5,10,"High","Medium","Good",0,0,0.488333333333333,15
6.5,4,1.7,8.2,4,10,"High","Medium","Good",1,0,0.5275,16
6.5,4,2.1,8.8,6,10,"High","Medium","Good",1,0,0.544166666666667,14
5.3,2,2.9,8,3,9,"Low","Medium","Good",0,0,0.4175,16
6.3,1,1.4,8.2,4,10,"Low","Medium","Good",0,0,0.328333333333333,16
7.8,3,2.2,9.2,5,10,"Medium","Medium","Good",0,0,0.531666666666667,15
1,4,0.6,8.8,3,10,"High","Low","Good",0,0,0.298333333333333,17
5.5,2,3.2,8,6,10,"Low","Medium","Good",0,0,0.436666666666667,14
5.4,1,2.5,8.5,3,10,"Low","Medium","Good",0,0,0.344166666666667,17
5,2,2.4,10,3,10,"Low","Medium","Good",0,0,0.386666666666667,17
5.2,1,1.1,9.5,4,10,"Low","Medium","Good",0,0,0.279166666666667,16
4.1,3,2.3,8.3,5,10,"Medium","Medium","Good",0,0,0.4125,15
7,4,2.9,8.1,7,10,"High","Medium","Good",1,0,0.594166666666667,13
7.2,4,2.4,8.5,7,10,"High","Medium","Good",1,0,0.58,13
3.4,3,1.8,8.6,3,10,"Medium","Low","Good",0,0,0.368333333333333,17
5.7,5,1.8,8.7,4,10,"High","Medium","Good",0,0,0.565,16
2.7,1,1.6,9.2,1,10,"Low","Low","Good",0,0,0.216666666666667,19
5.9,2,1.4,8.4,3,9,"Low","Medium","Good",0,0,0.375,16
4.4,2,1,8.6,4,10,"Low","Medium","Good",0,0,0.308333333333333,16
6,5,2.4,9.5,4,10,"High","Medium","Good",0,0,0.6,16
7.8,5,4.6,9.8,3,10,"High","Medium","Good",1,0,0.751666666666667,17
3,2,1.5,10,1,10,"Low","Low","Good",0,0,0.2825,19
8,5,1.8,8.7,5,10,"High","High","Good",1,0,0.641666666666667,15
7.2,2,1.6,8.9,4,10,"Low","Medium","Good",0,0,0.426666666666667,16
4.6,3,1.8,8.8,3,10,"Medium","Medium","Good",0,0,0.408333333333333,17
8,4,2,8.7,5,10,"High","High","Good",1,0,0.59,15
6.9,1,3.1,8.1,7,9,"Low","Medium","Good",0,0,0.419166666666667,12
5.9,4,2.4,8.3,6,10,"High","Medium","Good",0,0,0.536666666666667,14
6.1,2,1.9,9.4,4,10,"Low","Medium","Good",0,0,0.4025,16
6.3,2,3.7,8.5,5,10,"Low","Medium","Good",0,0,0.484166666666667,15
6.1,5,3.6,8.3,5,10,"High","Medium","Good",1,0,0.653333333333333,15
8.2,3,2.6,8.4,6,10,"Medium","High","Good",0,0,0.561666666666667,14
3.7,3,2.2,9.6,3,10,"Medium","Low","Good",0,0,0.395,17
4.6,2,1.1,9.3,3,10,"Low","Medium","Good",0,0,0.319166666666667,17
9.6,5,4.4,9,5,10,"High","High","Good",1,0,0.803333333333333,15
4.3,5,2,9.3,4,10,"High","Medium","Good",0,0,0.526666666666667,16
3.5,4,1.5,10,1,10,"High","Low","Good",0,0,0.419166666666667,19
6.1,4,2.6,10,2,10,"High","Medium","Good",1,0,0.551666666666667,18
6.7,1,2.4,8.5,4,10,"Low","Medium","Good",0,0,0.383333333333333,16
10.4,2,4.5,8.6,5,10,"Low","High","Good",0,0,0.654166666666667,15
8,3,2.9,8.8,6,10,"Medium","High","Good",0,0,0.5675,14
4.7,5,1.9,8,3,10,"High","Medium","Good",0,0,0.535833333333333,17
5.9,2,2.7,8.8,6,10,"Low","Medium","Good",0,0,0.429166666666667,14
5.3,1,2.8,8.1,5,10,"Low","Medium","Good",0,0,0.353333333333333,15
6.8,4,2.7,8.6,4,10,"High","Medium","Good",1,0,0.579166666666667,16
7.9,4,4.4,8.9,6,10,"High","Medium","Good",1,0,0.686666666666667,14
6.3,3,1.8,8.2,5,10,"Medium","Medium","Good",0,0,0.465,15
3.3,5,1.9,9.6,2,10,"High","Low","Good",0,0,0.489166666666667,18
6.7,2,3.6,8.5,7,10,"Low","Medium","Good",0,0,0.493333333333333,13
3.6,3,1.6,10,3,10,"Medium","Low","Good",0,0,0.366666666666667,17
2.9,1,1.7,8.2,3,10,"Low","Low","Good",0,0,0.2275,17
5.8,1,2.3,8.4,3,10,"Low","Medium","Good",0,0,0.349166666666667,17
5.9,3,1.5,8.5,4,10,"Medium","Medium","Good",0,0,0.439166666666667,16
4.4,3,1.6,8.3,4,10,"Medium","Medium","Good",0,0,0.393333333333333,16
5.8,3,3.5,8.4,5,10,"Medium","Medium","Good",0,0,0.519166666666667,15
5.2,5,1.6,9.1,5,10,"High","Medium","Good",0,0,0.54,15
3.3,3,1.2,8.2,4,10,"Medium","Low","Good",0,0,0.34,16
6.2,5,2.3,8.7,3,10,"High","Medium","Good",1,0,0.6025,17
3.7,4,1.3,8.8,3,10,"High","Low","Good",0,0,0.4175,17
7.9,4,3.9,8,7,10,"High","Medium","Good",1,0,0.665833333333333,13
7.2,3,2,8.8,5,10,"Medium","Medium","Good",0,0,0.503333333333333,15
6.7,2,1.7,9.4,3,10,"Low","Medium","Good",0,0,0.414166666666667,17
6.1,4,1.7,8.5,2,10,"High","Medium","Good",1,0,0.514166666666667,18
6,2,2.2,8,4,10,"Low","Medium","Good",0,0,0.411666666666667,16
6.9,3,1.5,9.2,3,10,"Medium","Medium","Good",0,0,0.4725,17
6.2,4,1.8,10,3,10,"High","Medium","Good",1,0,0.521666666666667,17
10.6,3,5.5,9,6,10,"Medium","High","Good",0,0,0.7625,14
6.4,1,2.9,8.9,5,10,"Low","Medium","Good",0,0,0.394166666666667,15
6.6,5,3.3,9.8,5,10,"High","Medium","Good",1,0,0.6575,15
4.3,5,1.5,8.9,3,10,"High","Medium","Good",0,0,0.505833333333333,17
7.2,5,3.2,9.3,6,10,"High","Medium","Good",1,0,0.673333333333333,14
4.5,3,2,8.2,3,10,"Medium","Medium","Good",0,0,0.413333333333333,17
4.5,1,1.9,8.1,3,10,"Low","Medium","Good",0,0,0.289166666666667,17
6.7,4,1.7,8.6,5,10,"High","Medium","Good",1,0,0.534166666666667,15
10.4,3,3.9,9.3,7,9,"Medium","High","Good",0,0,0.689166666666667,12
8.9,3,4.9,8.7,6,10,"Medium","High","Good",0,0,0.680833333333333,14
5.7,4,1.4,8.6,4,10,"High","Medium","Good",0,0,0.488333333333333,16
6.2,1,3.2,10,4,10,"Low","Medium","Good",0,0,0.4,16
3.8,4,2,10,2,10,"High","Low","Good",0,0,0.45,18
6,5,2.5,9.4,3,10,"High","Medium","Good",0,0,0.604166666666667,17
8.7,2,4.2,8.2,6,9,"Low","High","Good",0,0,0.585,13
6,2,3.2,8.6,4,10,"Low","Medium","Good",0,0,0.453333333333333,16
7.8,3,1.7,8.7,4,10,"Medium","Medium","Good",0,0,0.510833333333333,16
8.1,4,4.1,8.5,6,9,"High","High","Good",1,0,0.680833333333333,13
4.5,1,2.6,8.4,4,10,"Low","Medium","Good",0,0,0.318333333333333,16
6.2,1,2.7,8.9,3,10,"Low","Medium","Good",0,0,0.379166666666667,17
4,2,1.9,10,2,10,"Low","Medium","Good",0,0,0.3325,18
5.3,3,2,8.6,4,10,"Medium","Medium","Good",0,0,0.44,16
4.7,3,1.2,8.3,5,10,"Medium","Medium","Good",0,0,0.386666666666667,15
4.2,4,1.2,8.1,5,10,"High","Medium","Good",0,0,0.43,15
7.5,2,1.7,9.6,5,10,"Low","Medium","Good",0,0,0.440833333333333,15
5.1,4,2.4,8.6,3,9,"High","Medium","Good",0,0,0.51,16
5.1,2,2.9,9.6,4,10,"Low","Medium","Good",0,0,0.410833333333333,16
3.5,3,0.7,8.6,5,10,"Medium","Low","Good",0,0,0.325833333333333,15
5.9,4,3.3,9.5,4,10,"High","Medium","Good",0,0,0.574166666666667,16
7.5,4,2,8.4,5,9,"High","Medium","Good",1,0,0.573333333333333,14
8.4,5,3.8,8.9,7,9,"High","High","Good",1,0,0.738333333333333,12
